Brand, Product Name, Product Price 
EVGA,EVGA GeForce GTX 1060 DirectX 12 06G-P4-6262-KR 6GB 192-Bit GDDR5 PCI Express 3.0 Video Card,
,,
Rs 23995 (2 Offers),,
,,
–,,
,,
,,
EVGA,EVGA GeForce GTX 1060 SC GAMING|| ACX 2.0 (Single Fan)|| 06G-P4-6163-KR|| 6GB GDDR5|| DX12 OSD Support (PXOC)|| Only 6.8 Inches,
,,
Rs 23358 ,,
,,
            ,,
–,,
,,
,,
EVGA,EVGA GeForce GTX 1060 SC GAMING|| ACX 2.0 (Single Fan)|| 03G-P4-6162-KR|| 3GB GDDR5|| DX12 OSD Support (PXOC),
,,
Rs 18811 ,,
,,
            ,,
–,,
,,
,,
EVGA,EVGA GeForce GTX 1060 GAMING|| ACX 2.0 (Single Fan)|| 06G-P4-6161-KR|| 6GB GDDR5|| DX12 OSD Support (PXOC)|| Only 6.8 Inches,
,,
Rs 22712 ,,
,,
            ,,
–,,
,,
,,
PNY Technologies, Inc.,PNY GeForce GTX 1080 DirectX 12 VCGGTX10808XGPB-OC2 8GB 256-Bit GDDR5X PCI Express 3.0 x16 Video Card
,,
Rs 74298 ,,
,,
            ,,
–,,
,,
,,
EVGA,EVGA 200 GeForce 210 DirectX 10.1 01G-P3-1312-LR 1GB 64-Bit DDR3 PCI Express 2.0 x16 HDCP Ready Low Profile Video Card,
,,
Rs 2422 ,,
,,
            ,,
–,,
,,
,,
MSI,6 Packs of MSI VGA Graphic Cards RX 580 ARMOR 4G OC for for Crypto Coin ETH Ethereum Zcash ZEC BitcoinD,
,,
Rs 227121 ,,
,,
            ,,
–,,
,,
,,
PNY Technologies, Inc.,PNY GeForce GTX 1060 DirectX 12 VCGGTX10603PB 3GB 192-Bit GDDR5 PCI Express 3.0 x16 Video Card
,,
Rs 36488 ,,
,,
            ,,
–,,
,,
,,
XFX,XFX Radeon RX 570 DirectX 12 RX-570P8DFD6 8GB 256-Bit DDR5 PCI Express 3.0 CrossFireX Support Video Card,
,,
Rs 49271 ,,
,,
            ,,
–,,
,,
,,
ZOTAC,ZOTAC GeForce GT 730 DirectX 12 (feature level 11_0) ZT-71113-20L 2GB 64-Bit DDR3 PCI Express 2.0 x16 (x8 lanes) HDCP Ready Zone Edition Video Card,
,,
Rs 3832 ,,
,,
            ,,
–,,
,,
,,
EVGA,EVGA - NVIDIA GeForce GTX 1060 6144MB GDDR5 PCI Express 3.0 Graphics Card - Black (06G-P4-6264-KB),
,,
Rs 50835 ,,
,,
            ,,
–,,
,,
,,
ZOTAC,ZOTAC GeForce GTX 1050 Ti DirectX 12 ZT-P10510A-10L 4GB 128-Bit GDDR5 PCI Express 3.0 HDCP Ready Video Card,
,,
Rs 14783 ,,
,,
            ,,
–,,
,,
,,
EVGA,EVGA GeForce GT 730 DirectX 12 01G-P3-3730-KR 1GB 64-Bit GDDR5 PCI Express 2.0 HDCP Ready Low Profile Ready Video Card,
,,
Rs 4153 ,,
,,
            ,,
–,,
,,
,,
Sapphire Tech,Sapphire Radeon NITRO+ RX 580 4GB GDDR5 PCI-E Dual HDMI / DVI-D / Dual DP w/ Backplate (UEFI),
,,
Rs 46889 ,,
,,
            ,,
–,,
,,
,,
ASUS,ASUS Radeon RX 580 O4G Dual-fan OC Edition GDDR5 DP HDMI DVI VR Ready AMD Graphics Card (DUAL-RX580-O4G),
,,
Rs 46143 ,,
,,
            ,,
–,,
,,
,,
XFX,XFX GTS Black Core Edition Radeon RX 580 DirectX 12 RX-580P828D6 8GB OC+ 1405 MHz XFX Custom Backplate 256-Bit DDR5 PCI Express 3.0 CrossFireX Support Video Card,
,,
Rs 59125 (2 Offers),,
,,
–,,
,,
,,
XFX,XFX Radeon RX 580 DirectX 12 RX-580P8DFD6 XXX Edition 8GB 256-Bit DDR5 PCI Express 3.0 CrossFireX Support Video Card,
,,
Rs 33812 (2 Offers),,
,,
–,,
,,
,,
XFX,XFX RS XXX Edition Radeon RX 570 DirectX 12 RX-570P427D6 4GB OC+ 1284 MHz XFX Custom Backplate 256-Bit DDR5 PCI Express 3.0 CrossFireX Support Video Card,
,,
Rs 45165 ,,
,,
            ,,
–,,
,,
,,
GIGABYTE,GIGABYTE GeForce GTX 1070 8GB WINDFORCE OC|| GV-N1070WF2OC-8GD R2,
,,
Rs 62567 ,,
,,
            ,,
–,,
,,
,,
XFX,XFX Radeon RX 560 DirectX 12 RX-560P4SFG5 4GB 128-Bit DDR5 PCI Express 3.0 Video Card,
,,
Rs 14270 ,,
,,
            ,,
–,,
,,
,,
PNY Technologies, Inc.,PNY GeForce GTX 1060 DirectX 12 VCGGTX10606XGPB-OC2 6GB 192-Bit GDDR5 PCI Express 3.0 x16 Video Card
,,
Rs 31797 ,,
,,
            ,,
–,,
,,
,,
Sapphire Tech,Sapphire Radeon NITRO+ RX 570 4GB GDDR5 PCI-E Dual HDMI / DVI-D / Dual DP w/ Backplate (UEFI)|| 100412NT+4GL,
,,
Rs 45361 ,,
,,
            ,,
–,,
,,
,,
VisionTek,VisionTek Radeon 7750 SFF 1GB GDDR5 (DVI-I|| HDMI) (900549),
,,
Rs 8761 ,,
,,
            ,,
–,,
,,
,,
PowerColor,PowerColor Red Dragon Radeon RX 560 14CU DirectX 12 AXRX 560 4GBD5-DHA 4GB 128-Bit GDDR5 PCI Express 3.0 CrossFireX Support ATX Video Card,
,,
Rs 12970 ,,
,,
            ,,
–,,
,,
,,
GIGABYTE,GIGABYTE AORUS GeForce GTX 1070 GV-N1070IXEB-8GD 8GB GDDR5 Gaming Box,
,,
Rs 58578 ,,
,,
            ,,
–,,
,,
,,
MSI,MSI GTX1060 3GT OC 3GDR5|| DUAL FAN|| DP||HDMI|| DL-DVI-D|| PCIE,
(GTX1060 3GT OC 3GDR5) (GEFORCE® GTX 1060 3GT OC),,
,,
Rs 38800 ,,
,,
            ,,
–,,
,,
,,
Sapphire Tech,Sapphire NITRO+ Radeon RX 570 8GB GDDR5 PCI-E Dual HDMI / DVI-D / Dual DP w/ Backplate (UEFI)|| 100412NT+8GL,
,,
Rs 48286 ,,
,,
            ,,
–,,
,,
,,
PNY Technologies, Inc.,PNY GeForce GTX 1060 Graphic Card - 1.51 GHz Core - 1.71 GHz Boost Clock - 6 GB GDDR5 - Dual Slot Space Required - 192 bit Bus Width - Fan Cooler - DirectX 12|| OpenGL 4.5 - 3 x DisplayPort - 1 x ...
,,
Rs 39104 ,,
,,
            ,,
–,,
,,
,,
Sapphire Tech,SAPPHIRE PULSE Radeon RX 570 DirectX 12 100412P4GITXL 4GB 256-Bit GDDR5 CrossFireX Support ATX Video Card,
,,
Rs 22758 ,,
,,
            ,,
–,,
,,
,,
MSI,MSI GeForce GTX 1060 DirectX 12 GTX 1060 AERO ITX 6G OC 6GB 192-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready Video Card,
,,
Rs 41387 ,,
,,
            ,,
–,,
,,
,,
SAMSUNG,6 Packs of AMD Radeon RX 480 Samsung 4GB GDDR5 PCI Express 3.0 Gaming Graphics Cards - OEM,
,,
Rs 280432 ,,
,,
            ,,
–,,
,,
,,
PowerColor,PowerColor RED DRAGON Radeon RX 570 DirectX 12 AXRX 570 4GBD5-3DHD/OC 4GB 256-Bit GDDR5 PCI Express 3.0 CrossFireX Support ATX Video Card,
,,
Rs 26595 ,,
,,
            ,,
–,,
,,
,,
EVGA,6 Packs of EVGA - NVIDIA GeForce GTX 1060 6144MB GDDR5 PCI Express 3.0 Graphics Cards - Black (06G-P4-6264-KB),
,,
Rs 305018 ,,
,,
            ,,
–,,
,,
,,
GIGABYTE,GIGABYTE Radeon RX Vega 64 DirectX 12 GV-RXVEGA64GAMING OC-8GD 8GB 2048-Bit HBM2 PCI Express 3.0 x16 CrossFireX Support ATX Video Card,
,,
Rs 109056 ,,
,,
            ,,
–,,
,,
,,
ZOTAC,ZOTAC GeForce GTX 1050 DirectX 12 ZT-P10500A-10L 2GB 128-Bit GDDR5 PCI Express 3.0 HDCP Ready Video Card,
,,
Rs 11351 ,,
,,
            ,,
–,,
,,
,,
GIGABYTE,GIGABYTE GeForce GTX 1070 Ti DirectX 12 GV-N107TGAMING-8GD 8GB 256-Bit GDDR5 PCI Express 3.0 x16 SLI Support ATX Video Card,
,,
Rs 70388 ,,
,,
            ,,
–,,
